%time,field0,field1,field2,field3,field4,field5,,,left x,left y,left z,right x,right y ,right z
1422318506392380000,-104340,8940,6932,-106107,-19964,-3106,,max,22881,39444,112424,-12658,172606,74151
1422318506393250000,-104340,8940,6932,-106107,-19963,-3106,,min,-185981,-161325,-76745,-175324,-37929,-110289
1422318506394250000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506395230000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506396250000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506397280000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506398230000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506399250000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506400250000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506401270000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506402270000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506403340000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506404310000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506405310000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506406370000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506407330000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506408330000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506448790000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506448830000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506448870000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506448910000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506448930000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506448950000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506448970000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449000000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506449020000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449040000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449060000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449080000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449100000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449120000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449140000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449170000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506449200000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449230000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449260000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449280000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449300000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449320000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449340000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449360000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506449400000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449420000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449460000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449480000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449510000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449530000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449580000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449600000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506449620000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449640000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449660000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449680000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449710000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449730000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506449750000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506488710000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506488760000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506488790000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506488810000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506488830000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506488850000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506488870000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506488890000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506488920000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506488940000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506488960000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506488980000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489000000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489030000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489050000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489070000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
